ID,Pred
2019_1101_1113,0.64119
2019_1101_1120,0.55335
2019_1101_1124,0.64956
2019_1101_1125,0.36235
2019_1101_1133,0.76997
2019_1101_1138,0.28762
2019_1101_1153,0.36849
2019_1101_1159,0.57014
2019_1101_1181,0.2822
2019_1101_1192,0.75324
2019_1101_1196,0.80003
2019_1101_1199,0.4413
2019_1101_1205,0.68533
2019_1101_1209,0.58309
2019_1101_1211,0.22372
2019_1101_1222,0.22427
2019_1101_1233,0.81292
2019_1101_1234,0.63962
2019_1101_1235,0.65202
2019_1101_1242,0.51327
2019_1101_1243,0.45925
2019_1101_1246,0.34262
2019_1101_1251,0.4498
2019_1101_1257,0.73325
2019_1101_1261,0.35243
2019_1101_1266,0.51891
2019_1101_1268,0.52364
2019_1101_1276,0.34057
2019_1101_1277,0.33875
2019_1101_1278,0.70101
2019_1101_1279,0.67168
2019_1101_1280,0.54468
2019_1101_1285,0.56392
2019_1101_1293,0.30166
2019_1101_1295,0.83068
2019_1101_1297,0.46734
2019_1101_1300,0.88139
2019_1101_1305,0.27978
2019_1101_1308,0.33089
2019_1101_1314,0.31725
2019_1101_1318,0.61269
2019_1101_1326,0.76746
2019_1101_1328,0.75081
2019_1101_1330,0.53654
2019_1101_1332,0.66902
2019_1101_1341,0.76778
2019_1101_1345,0.44305
2019_1101_1371,0.69899
2019_1101_1385,0.68129
2019_1101_1387,0.73117
2019_1101_1388,0.63611
2019_1101_1393,0.67527
2019_1101_1396,0.55685
2019_1101_1397,0.27751
2019_1101_1403,0.34254
2019_1101_1414,0.34818
2019_1101_1416,0.47952
2019_1101_1429,0.40165
2019_1101_1433,0.43258
2019_1101_1436,0.39036
2019_1101_1437,0.56136
2019_1101_1438,0.18764
2019_1101_1439,0.46558
2019_1101_1449,0.41995
2019_1101_1458,0.49954
2019_1101_1459,0.30637
2019_1101_1463,0.52287
2019_1113_1120,0.41207
2019_1113_1124,0.51187
2019_1113_1125,0.24328
2019_1113_1133,0.65443
2019_1113_1138,0.18594
2019_1113_1153,0.24819
2019_1113_1159,0.42869
2019_1113_1181,0.18195
2019_1113_1192,0.63328
2019_1113_1196,0.69357
2019_1113_1199,0.30885
2019_1113_1205,0.552
2019_1113_1209,0.44173
2019_1113_1211,0.14019
2019_1113_1222,0.14057
2019_1113_1233,0.71085
2019_1113_1234,0.50102
2019_1113_1235,0.51458
2019_1113_1242,0.37367
2019_1113_1243,0.32454
2019_1113_1246,0.22771
2019_1113_1251,0.31624
2019_1113_1257,0.60863
2019_1113_1261,0.23541
2019_1113_1266,0.37897
2019_1113_1268,0.38344
2019_1113_1276,0.22612
2019_1113_1277,0.2247
2019_1113_1278,0.57016
2019_1113_1279,0.53648
2019_1113_1280,0.40362
2019_1113_1285,0.4225
2019_1113_1293,0.19639
2019_1113_1295,0.73514
2019_1113_1297,0.33171
2019_1113_1300,0.80784
2019_1113_1305,0.18017
2019_1113_1308,0.21861
2019_1113_1314,0.20816
2019_1113_1318,0.47229
2019_1113_1326,0.65122
2019_1113_1328,0.63026
2019_1113_1330,0.39575
2019_1113_1332,0.53348
2019_1113_1341,0.65163
2019_1113_1345,0.31037
2019_1113_1371,0.5678
2019_1113_1385,0.54738
2019_1113_1387,0.6061
2019_1113_1388,0.49723
2019_1113_1393,0.54054
2019_1113_1396,0.41552
2019_1113_1397,0.17851
2019_1113_1403,0.22766
2019_1113_1414,0.23207
2019_1113_1416,0.34264
2019_1113_1429,0.27524
2019_1113_1433,0.30134
2019_1113_1436,0.26593
2019_1113_1437,0.41996
2019_1113_1438,0.11557
2019_1113_1439,0.33015
2019_1113_1449,0.29057
2019_1113_1458,0.3609
2019_1113_1459,0.19993
2019_1113_1463,0.38271
2019_1120_1124,0.602
2019_1120_1125,0.31681
2019_1120_1133,0.73202
2019_1120_1138,0.24782
2019_1120_1153,0.32257
2019_1120_1159,0.51977
2019_1120_1181,0.24289
2019_1120_1192,0.71354
2019_1120_1196,0.76552
2019_1120_1199,0.39194
2019_1120_1205,0.63993
2019_1120_1209,0.533
2019_1120_1211,0.1904
2019_1120_1222,0.19089
2019_1120_1233,0.78003
2019_1120_1234,0.59156
2019_1120_1235,0.60459
2019_1120_1242,0.46252
2019_1120_1243,0.40935
2019_1120_1246,0.2984
2019_1120_1251,0.40016
2019_1120_1257,0.69166
2019_1120_1261,0.30753
2019_1120_1266,0.46814
2019_1120_1268,0.47286
2019_1120_1276,0.29649
2019_1120_1277,0.29481
2019_1120_1278,0.65674
2019_1120_1279,0.62539
2019_1120_1280,0.49398
2019_1120_1285,0.51344
2019_1120_1293,0.26063
2019_1120_1295,0.80014
2019_1120_1297,0.41723
2019_1120_1300,0.85844
2019_1120_1305,0.2407
2019_1120_1308,0.28752
2019_1120_1314,0.27493
2019_1120_1318,0.56349
2019_1120_1326,0.72923
2019_1120_1328,0.71088
2019_1120_1330,0.48578
2019_1120_1332,0.62256
2019_1120_1341,0.72959
2019_1120_1345,0.39363
2019_1120_1371,0.65457
2019_1120_1385,0.63562
2019_1120_1387,0.68939
2019_1120_1388,0.58789
2019_1120_1393,0.62921
2019_1120_1396,0.50628
2019_1120_1397,0.23864
2019_1120_1403,0.29833
2019_1120_1414,0.30357
2019_1120_1416,0.42917
2019_1120_1429,0.35392
2019_1120_1433,0.38352
2019_1120_1436,0.3432
2019_1120_1437,0.51084
2019_1120_1438,0.15859
2019_1120_1439,0.41552
2019_1120_1449,0.37138
2019_1120_1458,0.4489
2019_1120_1459,0.26494
2019_1120_1463,0.47209
2019_1124_1125,0.2366
2019_1124_1133,0.64611
2019_1124_1138,0.18047
2019_1124_1153,0.24142
2019_1124_1159,0.41975
2019_1124_1181,0.17657
2019_1124_1192,0.62475
2019_1124_1196,0.68574
2019_1124_1199,0.3011
2019_1124_1205,0.54293
2019_1124_1209,0.43273
2019_1124_1211,0.13583
2019_1124_1222,0.13621
2019_1124_1233,0.70327
2019_1124_1234,0.49188
2019_1124_1235,0.50543
2019_1124_1242,0.36514
2019_1124_1243,0.31657
2019_1124_1246,0.22134
2019_1124_1251,0.30838
2019_1124_1257,0.59988
2019_1124_1261,0.22889
2019_1124_1266,0.3704
2019_1124_1268,0.37483
2019_1124_1276,0.21978
2019_1124_1277,0.21839
2019_1124_1278,0.56116
2019_1124_1279,0.52737
2019_1124_1280,0.39484
2019_1124_1285,0.41359
2019_1124_1293,0.19067
2019_1124_1295,0.72795
2019_1124_1297,0.32365
2019_1124_1300,0.8021
2019_1124_1305,0.17483
2019_1124_1308,0.21243
2019_1124_1314,0.20219
2019_1124_1318,0.46318
2019_1124_1326,0.64287
2019_1124_1328,0.6217
2019_1124_1330,0.38704
2019_1124_1332,0.52436
2019_1124_1341,0.64328
2019_1124_1345,0.30259
2019_1124_1371,0.5588
2019_1124_1385,0.5383
2019_1124_1387,0.59733
2019_1124_1388,0.48808
2019_1124_1393,0.53144
2019_1124_1396,0.40666
2019_1124_1397,0.17321
2019_1124_1403,0.22129
2019_1124_1414,0.22561
2019_1124_1416,0.33444
2019_1124_1429,0.268
2019_1124_1433,0.29369
2019_1124_1436,0.25884
2019_1124_1437,0.41107
2019_1124_1438,0.11188
2019_1124_1439,0.32211
2019_1124_1449,0.28309
2019_1124_1458,0.3525
2019_1124_1459,0.19414
2019_1124_1463,0.3741
2019_1125_1133,0.85622
2019_1125_1138,0.41803
2019_1125_1153,0.50935
2019_1125_1159,0.70235
2019_1125_1181,0.41157
2019_1125_1192,0.84449
2019_1125_1196,0.87681
2019_1125_1199,0.58424
2019_1125_1205,0.79486
2019_1125_1209,0.71332
2019_1125_1211,0.33894
2019_1125_1222,0.33965
2019_1125_1233,0.88546
2019_1125_1234,0.75948
2019_1125_1235,0.76924
2019_1125_1242,0.65231
2019_1125_1243,0.60174
2019_1125_1246,0.48112
2019_1125_1251,0.59257
2019_1125_1257,0.83023
2019_1125_1261,0.49193
2019_1125_1266,0.65741
2019_1125_1268,0.66167
2019_1125_1276,0.47885
2019_1125_1277,0.47683
2019_1125_1278,0.80662
2019_1125_1279,0.78447
2019_1125_1280,0.68033
2019_1125_1285,0.69703
2019_1125_1293,0.43454
2019_1125_1295,0.89721
2019_1125_1297,0.60951
2019_1125_1300,0.92968
2019_1125_1305,0.40867
2019_1125_1308,0.46803
2019_1125_1314,0.45256
2019_1125_1318,0.73783
2019_1125_1326,0.85447
2019_1125_1328,0.84278
2019_1125_1330,0.67316
2019_1125_1332,0.78242
2019_1125_1341,0.8547
2019_1125_1345,0.58597
2019_1125_1371,0.80512
2019_1125_1385,0.7918
2019_1125_1387,0.82873
2019_1125_1388,0.75669
2019_1125_1393,0.78722
2019_1125_1396,0.69094
2019_1125_1397,0.40595
2019_1125_1403,0.48104
2019_1125_1414,0.48726
2019_1125_1416,0.62108
2019_1125_1429,0.54426
2019_1125_1433,0.57561
2019_1125_1436,0.53253
2019_1125_1437,0.69482
2019_1125_1438,0.29125
2019_1125_1439,0.60783
2019_1125_1449,0.56294
2019_1125_1458,0.63974
2019_1125_1459,0.44003
2019_1125_1463,0.66097
2019_1133_1138,0.10869
2019_1133_1153,0.14983
2019_1133_1159,0.28601
2019_1133_1181,0.10613
2019_1133_1192,0.47968
2019_1133_1196,0.54716
2019_1133_1199,0.19261
2019_1133_1205,0.39678
2019_1133_1209,0.29697
2019_1133_1211,0.08007
2019_1133_1222,0.08031
2019_1133_1233,0.56755
2019_1133_1234,0.34898
2019_1133_1235,0.36139
2019_1133_1242,0.24156
2019_1133_1243,0.20414
2019_1133_1246,0.136
2019_1133_1251,0.19802
2019_1133_1257,0.45361
2019_1133_1261,0.14117
2019_1133_1266,0.24572
2019_1133_1268,0.24925
2019_1133_1276,0.13494
2019_1133_1277,0.13399
2019_1133_1278,0.41456
2019_1133_1279,0.38191
2019_1133_1280,0.26541
2019_1133_1285,0.28087
2019_1133_1293,0.1154
2019_1133_1295,0.59705
2019_1133_1297,0.20947
2019_1133_1300,0.69177
2019_1133_1305,0.105
2019_1133_1308,0.12995
2019_1133_1314,0.12307
2019_1133_1318,0.32331
2019_1133_1326,0.49919
2019_1133_1328,0.47644
2019_1133_1330,0.25906
2019_1133_1332,0.37907
2019_1133_1341,0.49964
2019_1133_1345,0.19372
2019_1133_1371,0.41223
2019_1133_1385,0.39232
2019_1133_1387,0.45099
2019_1133_1388,0.34553
2019_1133_1393,0.38577
2019_1133_1396,0.27511
2019_1133_1397,0.10395
2019_1133_1403,0.13596
2019_1133_1414,0.13892
2019_1133_1416,0.21768
2019_1133_1429,0.16856
2019_1133_1433,0.18716
2019_1133_1436,0.16205
2019_1133_1437,0.27877
2019_1133_1438,0.06521
2019_1133_1439,0.20831
2019_1133_1449,0.17943
2019_1133_1458,0.23164
2019_1133_1459,0.1177
2019_1133_1463,0.24867
2019_1138_1153,0.59368
2019_1138_1159,0.76858
2019_1138_1181,0.49607
2019_1138_1192,0.8843
2019_1138_1196,0.90924
2019_1138_1199,0.66419
2019_1138_1205,0.84504
2019_1138_1209,0.77788
